skill_name,job_postings
Python,98696
SQL,95181
Machine Learning,93810
Data Analysis,88907
Excel,87397
Communication,87236
Project Management,83563
Java,81482
JavaScript,81426
Cloud Computing,76237
Deep Learning,68878
NLP,65392
TensorFlow,65302
PyTorch,64987
Docker,54597
Kubernetes,54118
Git,46463
Agile,46421
Power BI,46048
Tableau,42098
R,40495
Scala,39256
Spark,38893
Hadoop,38657
Azure,38221
AWS,36062
GCP,30926
Linux,30379
REST API,28289
Microservices,24592
Statistics,23434
Data Visualization,23396
Cybersecurity,22280
Networking,22156
DevOps,21395
Scrum,14165
JIRA,13905
Figma,13478
UI UX,13278
Product Management,10851
